state,region,rebate_usd,rebate_tier,income_cap_usd,has_income_cap,policy_type,vehicle_type,eligibility,effective_date,ev_adoption_rate,population_millions,est_annual_impact_millions,data_source,version,processed_at,summary,key_insights,regional_comparison,summarization_method
Arizona,West,1412,low,,False,tax_credit,plug_in_hybrid,New vehicle purchase only,2022-01-27,0.06,7.3,61.85,energy_office,4,2026-01-31 11:14:56.168907,"Arizona offers a limited EV incentive of $1,412. There are no income restrictions for this program.  The state's 6.0% adoption rate suggests room for growth in the EV market.",['Significant estimated annual impact ($61.9M)'],West Coast states typically offer the highest incentives. This state offers a moderate incentive.,rule_based
California,West,7683,high,150000.0,True,rebate,fuel_cell,Standard eligibility,2020-07-26,0.18,39.5,5462.61,energy_office,2,2026-01-31 11:14:56.168907,"California offers one of the nation's most generous EV incentives with up to $7,683 available. Income eligibility is capped at $150,000.0 for individuals.  The state's 18.0% EV adoption rate reflects strong consumer interest in electric vehicles.","['Above-average incentive compared to national benchmarks', 'High EV adoption rate (18.0%) indicates strong market', 'Income-restricted program targets middle-income consumers', 'Significant estimated annual impact ($5462.6M)']",West Coast states typically offer the highest incentives. This state is among the regional leaders.,rule_based
Colorado,West,5523,high,,False,tax_credit,all_electric_vehicles,Primary residence requirement,2022-05-22,0.12,5.8,384.4,press_release,3,2026-01-31 11:14:56.168907,"Colorado offers one of the nation's most generous EV incentives with up to $5,523 available. There are no income restrictions for this program.  The state's 12.0% EV adoption rate reflects strong consumer interest in electric vehicles.","['Above-average incentive compared to national benchmarks', 'High EV adoption rate (12.0%) indicates strong market', 'Significant estimated annual impact ($384.4M)']",West Coast states typically offer the highest incentives. This state is among the regional leaders.,rule_based
Connecticut,Northeast,2639,medium,,False,rebate,all_electric_vehicles,Must be registered in state for 2+ years,2021-08-10,0.07,3.6,66.5,legislative_record,3,2026-01-31 11:14:56.168907,"Connecticut provides a moderate EV incentive of $2,639 through its direct rebate program. There are no income restrictions for this program.  With 3.6M residents, the program has significant potential reach.",['Significant estimated annual impact ($66.5M)'],Northeastern states show moderate to high incentive levels. This state offers a moderate incentive.,rule_based
Florida,South,0,none,,False,none,all_electric_vehicles,First-time EV buyer priority,2024-05-04,0.04,21.8,0.0,third_party_aggregator,5,2026-01-31 11:14:56.168907,Florida currently does not offer a state-level EV purchase incentive. Residents may still qualify for federal tax credits. The state has 21.8M residents with a 4.0% EV adoption rate.,"['No state-level incentive available', 'Below-average adoption rate (4.0%) shows growth potential']",Southern states generally have lower state-level incentives. This state currently lacks a state incentive.,rule_based
Georgia,South,0,none,,False,none,all_electric_vehicles,Standard eligibility,2024-12-18,0.03,10.7,0.0,state_dmv_website,5,2026-01-31 11:14:56.168907,Georgia currently does not offer a state-level EV purchase incentive. Residents may still qualify for federal tax credits. The state has 10.7M residents with a 3.0% EV adoption rate.,"['No state-level incentive available', 'Below-average adoption rate (3.0%) shows growth potential']",Southern states generally have lower state-level incentives. This state currently lacks a state incentive.,rule_based
Illinois,Midwest,3283,medium,,False,rebate,plug_in_hybrid,Standard eligibility,2024-12-29,0.05,12.8,210.11,state_dmv_website,5,2026-01-31 11:14:56.168907,"Illinois provides a moderate EV incentive of $3,283 through its direct rebate program. There are no income restrictions for this program.  With 12.8M residents, the program has significant potential reach.",['Significant estimated annual impact ($210.1M)'],Midwestern states show varied incentive approaches. This state offers a moderate incentive.,rule_based
Maryland,South,3018,medium,,False,tax_credit,plug_in_hybrid,New or used vehicles,2022-04-10,0.06,6.2,112.27,state_dmv_website,4,2026-01-31 11:14:56.168907,"Maryland provides a moderate EV incentive of $3,018 through its tax credit program. There are no income restrictions for this program.  With 6.2M residents, the program has significant potential reach.",['Significant estimated annual impact ($112.3M)'],Southern states generally have lower state-level incentives. This state offers a moderate incentive.,rule_based
Massachusetts,Northeast,2937,medium,,False,rebate,plug_in_hybrid,New vehicle purchase only,2022-07-12,0.11,7.0,226.15,energy_office,3,2026-01-31 11:14:56.168907,"Massachusetts provides a moderate EV incentive of $2,937 through its direct rebate program. There are no income restrictions for this program.  With 7.0M residents, the program has significant potential reach.","['High EV adoption rate (11.0%) indicates strong market', 'Significant estimated annual impact ($226.2M)']",Northeastern states show moderate to high incentive levels. This state offers a moderate incentive.,rule_based
Michigan,Midwest,1794,low,,False,rebate,all_electric_vehicles,Standard eligibility,2022-09-29,0.04,10.0,71.76,legislative_record,3,2026-01-31 11:14:56.168907,"Michigan offers a limited EV incentive of $1,794. There are no income restrictions for this program.  The state's 4.0% adoption rate suggests room for growth in the EV market.","['Below-average adoption rate (4.0%) shows growth potential', 'Significant estimated annual impact ($71.8M)']",Midwestern states show varied incentive approaches. This state offers a moderate incentive.,rule_based
Nevada,West,2080,medium,,False,rebate,all_electric_vehicles,Standard eligibility,2022-03-19,0.08,3.1,51.58,press_release,3,2026-01-31 11:14:56.168907,"Nevada provides a moderate EV incentive of $2,080 through its direct rebate program. There are no income restrictions for this program.  With 3.1M residents, the program has significant potential reach.",['Significant estimated annual impact ($51.6M)'],West Coast states typically offer the highest incentives. This state offers a moderate incentive.,rule_based
New Jersey,Northeast,4575,medium,,False,rebate,all_electric_vehicles,Standard eligibility,2022-02-23,0.09,9.3,382.93,press_release,5,2026-01-31 11:14:56.168907,"New Jersey provides a moderate EV incentive of $4,575 through its direct rebate program. There are no income restrictions for this program.  With 9.3M residents, the program has significant potential reach.",['Significant estimated annual impact ($382.9M)'],Northeastern states show moderate to high incentive levels. This state offers a moderate incentive.,rule_based
New York,Northeast,2061,medium,250000.0,True,rebate,battery_electric,Standard eligibility,2021-07-04,0.08,19.8,326.46,legislative_record,2,2026-01-31 11:14:56.168907,"New York provides a moderate EV incentive of $2,061 through its direct rebate program. Income eligibility is capped at $250,000.0 for individuals.  With 19.8M residents, the program has significant potential reach.","['Income-restricted program targets middle-income consumers', 'Significant estimated annual impact ($326.5M)']",Northeastern states show moderate to high incentive levels. This state offers a moderate incentive.,rule_based
Oregon,West,6397,high,,False,rebate,plug_in_hybrid,Primary residence requirement,2023-06-17,0.14,4.2,376.14,press_release,5,2026-01-31 11:14:56.168907,"Oregon offers one of the nation's most generous EV incentives with up to $6,397 available. There are no income restrictions for this program.  The state's 14.0% EV adoption rate reflects strong consumer interest in electric vehicles.","['Above-average incentive compared to national benchmarks', 'High EV adoption rate (14.0%) indicates strong market', 'Significant estimated annual impact ($376.1M)']",West Coast states typically offer the highest incentives. This state is among the regional leaders.,rule_based
Pennsylvania,Northeast,3232,medium,200000.0,True,rebate,plug_in_hybrid,Must be registered in state for 2+ years,2024-02-13,0.04,13.0,168.06,press_release,5,2026-01-31 11:14:56.168907,"Pennsylvania provides a moderate EV incentive of $3,232 through its direct rebate program. Income eligibility is capped at $200,000.0 for individuals.  With 13.0M residents, the program has significant potential reach.","['Below-average adoption rate (4.0%) shows growth potential', 'Income-restricted program targets middle-income consumers', 'Significant estimated annual impact ($168.1M)']",Northeastern states show moderate to high incentive levels. This state offers a moderate incentive.,rule_based
Texas,South,2584,medium,,False,rebate,plug_in_hybrid,New vehicle purchase only,2023-07-28,0.05,29.1,375.97,state_dmv_website,4,2026-01-31 11:14:56.168907,"Texas provides a moderate EV incentive of $2,584 through its direct rebate program. There are no income restrictions for this program.  With 29.1M residents, the program has significant potential reach.",['Significant estimated annual impact ($376.0M)'],Southern states generally have lower state-level incentives. This state offers a moderate incentive.,rule_based
Vermont,Northeast,3753,medium,100000.0,True,rebate,all_electric_vehicles,Standard eligibility,2021-09-16,0.1,0.6,22.52,press_release,2,2026-01-31 11:14:56.168907,"Vermont provides a moderate EV incentive of $3,753 through its direct rebate program. Income eligibility is capped at $100,000.0 for individuals.  With 0.6M residents, the program has significant potential reach.","['Income-restricted program targets middle-income consumers', 'Significant estimated annual impact ($22.5M)']",Northeastern states show moderate to high incentive levels. This state offers a moderate incentive.,rule_based
Washington,West,6108,high,,False,sales_tax_exemption,all_electric_vehicles,Standard eligibility,2023-01-03,0.13,7.7,611.41,state_dmv_website,4,2026-01-31 11:14:56.168907,"Washington offers one of the nation's most generous EV incentives with up to $6,108 available. There are no income restrictions for this program.  The state's 13.0% EV adoption rate reflects strong consumer interest in electric vehicles.","['Above-average incentive compared to national benchmarks', 'High EV adoption rate (13.0%) indicates strong market', 'Significant estimated annual impact ($611.4M)']",West Coast states typically offer the highest incentives. This state is among the regional leaders.,rule_based
